query,job-light,cardinality,tables,sketch,sketch_err,approx_sketch,approx_sketch_err,upper_sketch,upper_sketch_err,signed,signed_err,approx_signed,approx_signed_err,upper_signed,upper_signed_err,unbiased,unbiased_err,approx_unbiased,approx_unbiased_err,upper_unbiased,upper_unbiased_err,counts,counts_err,approx_counts,approx_counts_err,upper_counts,upper_counts_err,cmm,cmm_err,approx_cmm,approx_cmm_err,upper_cmm,upper_cmm_err,joint,joint_err,compass,compass_err,approx_compass,approx_compass_err,upper_compass,upper_compass_err,ccmm,ccmm_err,approx_ccmm,approx_ccmm_err,upper_ccmm,upper_ccmm_err,sketch_time,model_time
"SELECT COUNT(*) FROM title t, movie_companies mc WHERE t.id=mc.movie_id AND mc.company_type_id=2;",0,1334883,2,1371393.0,1.027350664138794,403796.84375,3.305828332901001,403796.84375,3.305828332901001,1655506.0,1.2401881217956543,1080217.125,1.235754370689392,1080217.125,1.235754370689392,1371393.0,1.027350664138794,403796.84375,3.305828332901001,403796.84375,3.305828332901001,412640224.0,309.1208801269531,412183872.0,308.7790222167969,412183872.0,308.7790222167969,901930.0,1.4800294637680054,670432.625,1.991076946258545,670432.625,1.991076946258545,3375000707496.0,2528312.0,1371393.0,1.027350664138794,403796.84375,3.305828332901001,403796.84375,3.305828332901001,687192.6875,1.9425163269042969,200521.1875,6.657066822052002,200521.1875,6.657066822052002,1098869288.0,128697837.0
"SELECT COUNT(*) FROM movie_info_idx mi_idx, movie_companies mc WHERE mc.movie_id = mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2;",0,715,2,592.0,1.2077703475952148,122.17616271972656,5.852205276489258,122.17616271972656,5.852205276489258,2749.0,3.844755172729492,196.42787170410156,3.6400129795074463,196.42787170410156,3.6400129795074463,592.0,1.2077703475952148,122.17616271972656,5.852205276489258,122.17616271972656,5.852205276489258,40658.0,56.86433410644531,40803.69921875,57.068111419677734,40803.69921875,57.068111419677734,3174.38427734375,4.439698219299316,133.68592834472656,5.3483567237854,133.68592834472656,5.3483567237854,333720750.0,466742.3076923077,592.0,1.2077703475952148,122.17616271972656,5.852205276489258,122.17616271972656,5.852205276489258,189.6500244140625,3.7701022624969482,67.85540771484375,10.537111282348633,67.85540771484375,10.537111282348633,169009071.0,18112456.0
"SELECT COUNT(*) FROM movie_info_idx mi_idx, title t WHERE t.id=mi_idx.movie_id AND mi_idx.info_type_id=112;",0,250,2,392.0,1.5679999589920044,66.57760620117188,3.755016326904297,66.57760620117188,3.755016326904297,2704.0,10.815999984741211,154.14932250976562,1.621804118156433,154.14932250976562,1.621804118156433,392.0,1.5679999589920044,66.57760620117188,3.755016326904297,66.57760620117188,3.755016326904297,77154.0,308.6159973144531,77181.8359375,308.72735595703125,77181.8359375,308.72735595703125,2539.562255859375,10.158248901367188,86.74332427978516,2.882066249847412,86.74332427978516,2.882066249847412,632078000.0,2528312.0,392.0,1.5679999589920044,66.57760620117188,3.755016326904297,66.57760620117188,3.755016326904297,219.09449768066406,1.1410601139068604,33.369407653808594,7.491892337799072,33.369407653808594,7.491892337799072,926430582.0,6577770.0
"SELECT COUNT(*) FROM movie_info_idx mi_idx, movie_companies mc, title t WHERE t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2;",0,715,3,-6834.0,715.0,197.62664794921875,3.6179332733154297,197.62664794921875,3.6179332733154297,61653.0,86.22797393798828,2899.080078125,4.054657459259033,2899.080078125,4.054657459259033,-4484.0,715.0,271.6015625,2.6325325965881348,271.6015625,2.6325325965881348,12603291.0,17626.98046875,12603581.0,17627.38671875,12603581.0,17627.38671875,26793.955078125,37.474063873291016,948.2222900390625,1.3261849880218506,948.2222900390625,1.3261849880218506,843750176874000.0,1180070177446.1538,4538.0,6.346853256225586,271.6015625,2.6325325965881348,271.6015625,2.6325325965881348,2536.8427734375,3.548031806945801,31.994279861450195,22.347745895385742,31.994279861450195,22.347745895385742,1080722474.0,14356034.0
"SELECT COUNT(*) FROM title t, movie_companies mc WHERE t.id=mc.movie_id AND t.production_year>2005 AND t.production_year<2010 AND mc.company_type_id=2;",1,211875,2,1148763.0,5.4218902587890625,696142.625,3.2856287956237793,58048.0546875,3.6499931812286377,1455835.0,6.871197700500488,1975793.625,9.325279235839844,166560.875,1.2720574140548706,1148763.0,5.4218902587890625,696142.625,3.2856287956237793,58048.0546875,3.6499931812286377,348700928.0,1645.7861328125,1393017216.0,6574.71240234375,116743400.0,551.0012817382812,826574.75,3.901237726211548,1592422.5,7.515858173370361,134240.703125,1.5783215761184692,2852172422418.0,13461580.75477522,1148763.0,5.4218902587890625,696142.625,3.2856287956237793,58048.0546875,3.6499931812286377,574412.3125,2.711090564727783,362943.96875,1.7130098342895508,30109.58984375,7.036794662475586,985418348.0,50279737.0
"SELECT COUNT(*) FROM movie_info_idx mi_idx, movie_companies mc WHERE mc.movie_id = mi_idx.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2;",1,22,2,70.0,3.1818182468414307,6.101586818695068,3.605619430541992,6.101586818695068,3.605619430541992,156.0,7.090909004211426,10.80960464477539,2.035227060317993,10.80960464477539,2.035227060317993,70.0,3.1818182468414307,6.101586818695068,3.605619430541992,6.101586818695068,3.605619430541992,1639.0,74.5,1632.7750244140625,74.21704864501953,1632.7750244140625,74.21704864501953,173.58746337890625,7.890339374542236,7.4983906745910645,2.933962821960449,7.4983906745910645,2.933962821960449,13348830.0,606765.0,70.0,3.1818182468414307,6.101586818695068,3.605619430541992,6.101586818695068,3.605619430541992,94.5272216796875,4.29669189453125,3.3029348850250244,6.660743236541748,3.3029348850250244,6.660743236541748,165726661.0,19237674.0
"SELECT COUNT(*) FROM movie_info_idx mi_idx, title t WHERE t.id=mi_idx.movie_id AND mi_idx.info_type_id=113 AND t.production_year>2005 AND t.production_year<2010;",1,3,2,18.0,6.0,4.241584300994873,1.4138613939285278,0.3567810356616974,3.0,90.0,30.0,15.884528160095215,5.294842720031738,1.3394638299942017,2.2397022247314453,18.0,6.0,4.241584300994873,1.4138613939285278,0.3567810356616974,3.0,2611.0,870.3333129882812,10434.576171875,3478.192138671875,874.48388671875,291.49462890625,95.84651184082031,31.948837280273438,11.933159828186035,3.977720022201538,1.006727933883667,2.9799509048461914,21366460.0,7122153.333333333,18.0,6.0,4.241584300994873,1.4138613939285278,0.3567810356616974,3.0,19.794384002685547,6.598127841949463,1.7882513999938965,1.6776163578033447,0.15022003650665283,3.0,773518097.0,25585269.0
"SELECT COUNT(*) FROM movie_info_idx mi_idx, movie_companies mc, title t WHERE t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2 AND t.production_year>2005 AND t.production_year<2010;",1,9,3,-1644.0,9.0,67.18265533447266,7.4647393226623535,5.61224365234375,1.6036367416381836,2114.0,234.88888549804688,294.6170959472656,32.735233306884766,24.829349517822266,2.758816719055176,763.0,84.77777862548828,-37.420654296875,9.0,-3.221918821334839,9.0,428630.0,47625.5546875,1704156.375,189350.703125,142818.828125,15868.7587890625,1124.3544921875,124.92827606201172,141.2632598876953,15.695918083190918,11.880045890808105,1.3200050592422485,28521724224180.0,3169080469353.3335,763.0,84.77777862548828,37.420654296875,4.15785026550293,3.221918821334839,2.7933664321899414,248.34190368652344,27.593544006347656,16.666833877563477,1.8518704175949097,1.382847785949707,6.508308410644531,905038557.0,32445165.0
"SELECT COUNT(*) FROM title t, movie_companies mc WHERE t.id=mc.movie_id AND t.production_year>2010 AND mc.company_type_id=2;",2,176197,2,235428.0,1.3361635208129883,96858.5,1.819117546081543,44611.40234375,3.9495956897735596,461357.0,2.6184158325195312,235240.03125,1.3350967168807983,122152.640625,1.4424331188201904,235428.0,1.3361635208129883,96858.5,1.819117546081543,44611.40234375,3.9495956897735596,63928128.0,362.8218994140625,191514000.0,1086.93115234375,86933824.0,493.3899230957031,331757.09375,1.882875919342041,184358.40625,1.0463197231292725,97737.078125,1.802765130996704,522828285078.0,2967293.910100626,235428.0,1.3361635208129883,96858.5,1.819117546081543,44611.40234375,3.9495956897735596,115766.1171875,1.5220084190368652,50722.95703125,3.473712921142578,22989.046875,7.664388656616211,270627979.0,23677005.0
"SELECT COUNT(*) FROM movie_info_idx mi_idx, movie_companies mc WHERE mc.movie_id = mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2;",2,715,2,592.0,1.2077703475952148,122.17616271972656,5.852205276489258,122.17616271972656,5.852205276489258,2749.0,3.844755172729492,196.42787170410156,3.6400129795074463,196.42787170410156,3.6400129795074463,592.0,1.2077703475952148,122.17616271972656,5.852205276489258,122.17616271972656,5.852205276489258,40658.0,56.86433410644531,40803.69921875,57.068111419677734,40803.69921875,57.068111419677734,3174.38427734375,4.439698219299316,133.68592834472656,5.3483567237854,133.68592834472656,5.3483567237854,333720750.0,466742.3076923077,592.0,1.2077703475952148,122.17616271972656,5.852205276489258,122.17616271972656,5.852205276489258,189.6500244140625,3.7701022624969482,67.85540771484375,10.537111282348633,67.85540771484375,10.537111282348633,154638041.0,14598619.0
"SELECT COUNT(*) FROM movie_info_idx mi_idx, title t WHERE t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND t.production_year>2010;",2,12,2,52.0,4.333333492279053,12.607491493225098,1.0506242513656616,5.749328136444092,2.087200403213501,968.0,80.66666412353516,33.57994842529297,2.7983291149139404,17.2592830657959,1.438273549079895,52.0,4.333333492279053,12.607491493225098,1.0506242513656616,5.749328136444092,2.087200403213501,11817.0,984.75,35864.78515625,2988.732177734375,16279.9970703125,1356.6663818359375,1253.337646484375,104.4448013305664,24.701662063598633,2.058471918106079,12.81686782836914,1.0680723190307617,97916500.0,8159708.333333333,52.0,4.333333492279053,12.607491493225098,1.0506242513656616,5.749328136444092,2.087200403213501,33.31037139892578,2.775864362716675,6.7545881271362305,1.7765703201293945,3.00468111038208,3.9937682151794434,126459779.0,22553315.0
